iteration	quickhull_ms	result	description
0	137.0	baseline	500 hulls (200 sphere + 200 ico + 100 cylinder), Release build
1	137.0	discard	pre-allocate arrays + reuse horizon buffer. Worse: over-alloc pollutes cache on small inputs.
2	132.0	discard	cache farthest conflict vertex per face. Within noise, added complexity not worth marginal gain.
3	100.0	keep	O(E) multi-adjacent fixup via generation stamps. Replaced O(E^2) shared-edge counting. 1.3x speedup.
4	94.0	keep	cache face centroid from qh_recompute_face. Eliminates edge-loop walk in qh_opp_face_dist.
5	90.0	keep	maxoutside upper-bound pruning in qh_next_conflict. Skip faces with low maxoutside.
6	90.0	keep	fast triangle normal via cross product. Replaces Newell loop for triangles.
7	85.0	keep	flip plane-widening loop order. Points outer, faces inner for cache locality.
8	92.0	discard	inline edge lookup in qh_add_adjoining_face. No measurable improvement.
9	98.0	discard	use cached num_verts in poly-fin check. Stale values produce incorrect merge decisions.
10	61.0	keep	limit fixup scan to new faces only. Multi-adjacent pairs only involve new faces. 2.25x total.
11	65.0	discard	two-pass qh_next_conflict (head-only face scan). Slightly worse due to suboptimal face selection.
12	58.0	keep	cached centroid for normal-fix in build_output. Eliminates edge-loop centroid recomputation.
13	52.0	keep	hoisted plane + inlined dist in qh_next_conflict. Better register reuse.
14	51.0	keep	inlined opp_face_dist with lazy reverse distance. Avoids redundant dot products.
15	53.0	keep	build_output face loop validation behind QH_DEBUG.
16	53.0	discard	batch 3-edge alloc in create_triangle. No measurable improvement.
17	52.0	keep	SoA normal layout for plane widening. Auto-vectorizable inner loop.
18	hang	discard	iterative horizon DFS with explicit stack. Correctness bugs causing infinite loops.
